X,Y,Z,formation,IsFault
8964.41142,4600,-312.85706,Fault2,TRUE
9134.99965,4600,-1341.42848,Fault2,TRUE
9476.17612,4600,-2519.99991,Fault2,TRUE
9874.21534,4600,-3655.7142,Fault2,TRUE
10385.98005,4600,-4769.99991,Fault2,TRUE
11068.33299,4600,-6162.85706,Fault2,TRUE
17323.23495,4600,-848.57134,Fault5,TRUE
16754.6075,4600,-2048.57134,Fault5,TRUE
16129.1173,4600,-3441.42848,Fault5,TRUE
15333.03887,4600,-4491.42848,Fault5,TRUE
20109.50946,4600,-1019.99991,Fault6,TRUE
19711.47024,4600,-1855.7142,Fault6,TRUE
19085.98005,4600,-2798.57134,Fault6,TRUE
1401.66632,4600,999,Lower-filling,FALSE
7201.66632,4600,999,Lower-filling,FALSE
11295.78397,4600,-5905.7142,Lower-filling,FALSE
12262.45063,4600,-5755.7142,Lower-filling,FALSE
13399.70554,4600,-5219.99991,Lower-filling,FALSE
14764.41142,4600,-4127.14277,Lower-filling,FALSE
15276.17612,4600,-3698.57134,Lower-filling,FALSE
15901.66632,4600,-3269.99991,Lower-filling,FALSE
17721.27416,4600,-1598.57134,Lower-filling,FALSE
18972.25455,4600,-1941.42848,Lower-filling,FALSE
23521.27416,4600,999,Lower-filling,FALSE
27842.84279,4600,999,Lower-filling,FALSE
10,4600,999,Upper-filling,FALSE
4131.07808,4600,999,Upper-filling,FALSE
6007.54867,4600,-248.57134,Upper-filling,FALSE
8111.47024,4600,-505.7142,Upper-filling,FALSE
9646.76436,4600,-1298.57134,Upper-filling,FALSE
10954.6075,4600,-2155.7142,Upper-filling,FALSE
13115.39181,4600,-2112.85706,Upper-filling,FALSE
14821.27416,4600,-2027.14277,Upper-filling,FALSE
16242.84279,4600,-1662.85706,Upper-filling,FALSE
19256.56828,4600,999,Upper-filling,FALSE
23521.27416,4600,999,Upper-filling,FALSE
27842.84279,4600,999,Upper-filling,FALSE
1401.66632,4600,608.57152,Unconformity,FALSE
4131.07808,4600,544.2858,Unconformity,FALSE
5950.68593,4600,8.57152,Unconformity,FALSE
8225.19573,4600,-119.99991,Unconformity,FALSE
9760.48985,4600,-441.42848,Unconformity,FALSE
11466.3722,4600,-634.28563,Unconformity,FALSE
13854.6075,4600,-741.42848,Unconformity,FALSE
16015.39181,4600,-869.99991,Unconformity,FALSE
18119.31338,4600,-934.28563,Unconformity,FALSE
23464.41142,4600,-1384.28563,Unconformity,FALSE
25454.6075,4600,-1512.85706,Unconformity,FALSE
27672.25455,4600,-1769.99991,Unconformity,FALSE
21019.31338,4600,-1041.42848,Unconformity,FALSE
21644.80357,4600,115.71437,Tertiary,FALSE
24203.6271,4600,-334.28563,Tertiary,FALSE
26591.8624,4600,-569.99991,Tertiary,FALSE
28468.33299,4600,-848.57134,Tertiary,FALSE
9709.60363,4600,-122.74089,Orange,FALSE
13678.39114,4600,-461.59632,Orange,FALSE
16602.76089,4600,-551.95776,Orange,FALSE
17473.10903,4600,329.06633,Orange,FALSE
19178.99245,4600,-461.59632,Orange,FALSE
20327.85199,4600,-280.87343,Orange,FALSE
25375.8712,4600,-1229.66861,Orange,FALSE
9883.67326,4600,148.34344,Pink,FALSE
13678.39114,4600,-190.51198,Pink,FALSE
16498.31912,4600,-280.87343,Pink,FALSE
17681.99365,4600,487.19886,Pink,FALSE
19178.99245,4600,-213.10234,Pink,FALSE
20049.34059,4600,216.11453,Pink,FALSE
25375.8712,4600,-1026.35535,Pink,FALSE
16602.76089,4600,645.33139,Thrust1_south,TRUE
17194.59763,4600,-190.51198,Thrust1_south,TRUE
19004.92282,4600,-868.22282,Thrust1_south,TRUE
19353.06207,4600,419.42778,Thrust2_south,TRUE
20014.52666,4600,-303.46379,Thrust2_south,TRUE
21581.15331,4600,-958.58427,Thrust2_south,TRUE
26768.42822,4600,-1636.29546,Thrust2_south,TRUE
8964.41142,9200,-312.85706,Fault2,TRUE
9134.99965,9200,-1341.42848,Fault2,TRUE
9476.17612,9200,-2519.99991,Fault2,TRUE
9874.21534,9200,-3655.7142,Fault2,TRUE
10385.98005,9200,-4769.99991,Fault2,TRUE
11068.33299,9200,-6162.85706,Fault2,TRUE
17323.23495,9200,-848.57134,Fault5,TRUE
16754.6075,9200,-2048.57134,Fault5,TRUE
16129.1173,9200,-3441.42848,Fault5,TRUE
15333.03887,9200,-4491.42848,Fault5,TRUE
20109.50946,9200,-1019.99991,Fault6,TRUE
19711.47024,9200,-1855.7142,Fault6,TRUE
19085.98005,9200,-2798.57134,Fault6,TRUE
1401.66632,9200,999,Lower-filling,FALSE
7201.66632,9200,999,Lower-filling,FALSE
11295.78397,9200,-5905.7142,Lower-filling,FALSE
12262.45063,9200,-5755.7142,Lower-filling,FALSE
13399.70554,9200,-5219.99991,Lower-filling,FALSE
14764.41142,9200,-4127.14277,Lower-filling,FALSE
15276.17612,9200,-3698.57134,Lower-filling,FALSE
15901.66632,9200,-3269.99991,Lower-filling,FALSE
17721.27416,9200,-1598.57134,Lower-filling,FALSE
18972.25455,9200,-1941.42848,Lower-filling,FALSE
23521.27416,9200,999,Lower-filling,FALSE
27842.84279,9200,999,Lower-filling,FALSE
10,9200,999,Upper-filling,FALSE
4131.07808,9200,999,Upper-filling,FALSE
6007.54867,9200,-248.57134,Upper-filling,FALSE
8111.47024,9200,-505.7142,Upper-filling,FALSE
9646.76436,9200,-1298.57134,Upper-filling,FALSE
10954.6075,9200,-2155.7142,Upper-filling,FALSE
13115.39181,9200,-2112.85706,Upper-filling,FALSE
14821.27416,9200,-2027.14277,Upper-filling,FALSE
16242.84279,9200,-1662.85706,Upper-filling,FALSE
19256.56828,9200,999,Upper-filling,FALSE
23521.27416,9200,999,Upper-filling,FALSE
27842.84279,9200,999,Upper-filling,FALSE
1401.66632,9200,608.57152,Unconformity,FALSE
4131.07808,9200,544.2858,Unconformity,FALSE
5950.68593,9200,8.57152,Unconformity,FALSE
8225.19573,9200,-119.99991,Unconformity,FALSE
9760.48985,9200,-441.42848,Unconformity,FALSE
11466.3722,9200,-634.28563,Unconformity,FALSE
13854.6075,9200,-741.42848,Unconformity,FALSE
16015.39181,9200,-869.99991,Unconformity,FALSE
18119.31338,9200,-934.28563,Unconformity,FALSE
23464.41142,9200,-1384.28563,Unconformity,FALSE
25454.6075,9200,-1512.85706,Unconformity,FALSE
27672.25455,9200,-1769.99991,Unconformity,FALSE
21019.31338,9200,-1041.42848,Unconformity,FALSE
21644.80357,9200,115.71437,Tertiary,FALSE
24203.6271,9200,-334.28563,Tertiary,FALSE
26591.8624,9200,-569.99991,Tertiary,FALSE
28468.33299,9200,-848.57134,Tertiary,FALSE
9709.60363,9200,-122.74089,Orange,FALSE
13678.39114,9200,-461.59632,Orange,FALSE
16602.76089,9200,-551.95776,Orange,FALSE
17473.10903,9200,329.06633,Orange,FALSE
19178.99245,9200,-461.59632,Orange,FALSE
20327.85199,9200,-280.87343,Orange,FALSE
25375.8712,9200,-1229.66861,Orange,FALSE
9883.67326,9200,148.34344,Pink,FALSE
13678.39114,9200,-190.51198,Pink,FALSE
16498.31912,9200,-280.87343,Pink,FALSE
17681.99365,9200,487.19886,Pink,FALSE
19178.99245,9200,-213.10234,Pink,FALSE
20049.34059,9200,216.11453,Pink,FALSE
25375.8712,9200,-1026.35535,Pink,FALSE
16602.76089,9200,645.33139,Thrust1_south,TRUE
17194.59763,9200,-190.51198,Thrust1_south,TRUE
19004.92282,9200,-868.22282,Thrust1_south,TRUE
19353.06207,9200,419.42778,Thrust2_south,TRUE
20014.52666,9200,-303.46379,Thrust2_south,TRUE
21581.15331,9200,-958.58427,Thrust2_south,TRUE
26768.42822,9200,-1636.29546,Thrust2_south,TRUE
