,X,Y,Z,X_c,Y_c,Z_c,G_x,G_y,G_z,dip,azimuth,polarity,surface,series,id,order_series,smooth
29,17500.0,4600,250.28562999999997,0.5573913653471169,0.4596900434363425,0.5498607179063372,0.788010753607722,1.000048251742355e-12,0.6156614753266583,52.0,90.0,1.0,Thrust1_south,Thrust1_series,1,1,0.01
62,17500.0,9200,250.28562999999997,0.5573913653471169,0.5405099565636574,0.5498607179063372,0.788010753607722,1.000048251742355e-12,0.6156614753266583,52.0,90.0,1.0,Thrust1_south,Thrust1_series,1,1,0.01
30,20500.0,4600,-100.0,0.6101000043431919,0.4596900434363425,0.5437063583006096,0.7071067811875476,1.0000432978028117e-12,0.7071067811875476,45.0,90.0,1.0,Thrust2_south,Thrust2_series,2,2,0.01
63,20500.0,9200,-100.0,0.6101000043431919,0.5405099565636574,0.5437063583006096,0.7071067811875476,1.0000432978028117e-12,0.7071067811875476,45.0,90.0,1.0,Thrust2_south,Thrust2_series,2,2,0.01
0,9049.705535,4600,-827.14277,0.40892352522504516,0.4596900434363425,0.5309307897130977,0.986524312794802,1.0000604071920972e-12,0.16361473120426498,80.58322916,90.0,1.0,Fault2,Fault2_series,3,3,0.01
1,9675.19573,4600,-3087.857055,0.419913104186325,0.4596900434363425,0.4912110653393194,0.943718564432957,1.0000577860959613e-12,0.33074955955699736,70.68572299,90.0,1.0,Fault2,Fault2_series,3,3,0.01
2,10727.15652,4600,-5466.428485,0.4383955780257036,0.4596900434363425,0.4494206443959035,0.8980277634980965,1.0000549883413055e-12,0.43993878663887165,63.90002445,90.0,1.0,Fault2,Fault2_series,3,3,0.01
33,9049.705535,9200,-827.14277,0.40892352522504516,0.5405099565636574,0.5309307897130977,0.986524312794802,1.0000604071920972e-12,0.16361473120426498,80.58322916,90.0,1.0,Fault2,Fault2_series,3,3,0.01
34,9675.19573,9200,-3087.857055,0.419913104186325,0.5405099565636574,0.4912110653393194,0.943718564432957,1.0000577860959613e-12,0.33074955955699736,70.68572299,90.0,1.0,Fault2,Fault2_series,3,3,0.01
35,10727.15652,9200,-5466.428485,0.4383955780257036,0.5405099565636574,0.4494206443959035,0.8980277634980965,1.0000549883413055e-12,0.43993878663887165,63.90002445,90.0,1.0,Fault2,Fault2_series,3,3,0.01
3,17038.92123,4600,-1448.57134,0.5492904205348889,0.4596900434363425,0.5200125716604387,-0.9036776973610395,9.998339971000696e-13,0.42821328714940476,64.64577581,270.0,1.0,Fault5,Fault5_series,4,4,0.01
4,15731.07809,4600,-3966.4284799999996,0.5263122098916378,0.4596900434363425,0.47577496398178876,-0.7968641923933223,9.998536184226143e-13,0.6041584716619911,52.83168958,270.0,1.0,Fault5,Fault5_series,4,4,0.01
36,17038.92123,9200,-1448.57134,0.5492904205348889,0.5405099565636574,0.5200125716604387,-0.9036776973610395,9.998339971000696e-13,0.42821328714940476,64.64577581,270.0,1.0,Fault5,Fault5_series,4,4,0.01
37,15731.07809,9200,-3966.4284799999996,0.5263122098916378,0.5405099565636574,0.47577496398178876,-0.7968641923933223,9.998536184226143e-13,0.6041584716619911,52.83168958,270.0,1.0,Fault5,Fault5_series,4,4,0.01
5,19910.48985,4600,-1437.8570550000002,0.5997425784495679,0.4596900434363425,0.5202008167871607,-0.9028269543343574,9.998341533790283e-13,0.43000405873247577,64.53218228,270.0,1.0,Fault6,Fault6_series,5,5,0.01
38,19910.48985,9200,-1437.8570550000002,0.5997425784495679,0.5405099565636574,0.5202008167871607,-0.9028269543343574,9.998341533790283e-13,0.43000405873247577,64.53218228,270.0,1.0,Fault6,Fault6_series,5,5,0.01
25,17948.725140000002,4600,426.428655,0.5652752624846913,0.4596900434363425,0.5529554709451378,0.08377044876133233,1.0000051294605968e-12,0.9964850786220963,4.805324595,90.0,1.0,Tertiary,Post_tectonic_series,6,6,0.01
26,22924.21534,4600,-109.28563,0.6526923680781276,0.4596900434363425,0.5435432139941025,0.17320408185188724,1.000010605691222e-12,0.9848859558508086,9.974163682999999,90.0,1.0,Tertiary,Post_tectonic_series,6,6,0.01
27,25397.74475,4600,-452.14277000000004,0.696151157650749,0.4596900434363425,0.537519369587607,0.09822085660018999,1.000006014292882e-12,0.9951646413186672,5.636728677000001,90.0,1.0,Tertiary,Post_tectonic_series,6,6,0.01
28,27530.0977,4600,-709.285625,0.733615631602004,0.4596900434363425,0.5330014862827354,0.14684565532244676,1.000008991703088e-12,0.9891594176446955,8.444171645,90.0,1.0,Tertiary,Post_tectonic_series,6,6,0.01
58,17948.725140000002,9200,426.428655,0.5652752624846913,0.5405099565636574,0.5529554709451378,0.08377044876133233,1.0000051294605968e-12,0.9964850786220963,4.805324595,90.0,1.0,Tertiary,Post_tectonic_series,6,6,0.01
59,22924.21534,9200,-109.28563,0.6526923680781276,0.5405099565636574,0.5435432139941025,0.17320408185188724,1.000010605691222e-12,0.9848859558508086,9.974163682999999,90.0,1.0,Tertiary,Post_tectonic_series,6,6,0.01
60,25397.74475,9200,-452.14277000000004,0.696151157650749,0.5405099565636574,0.537519369587607,0.09822085660018999,1.000006014292882e-12,0.9951646413186672,5.636728677000001,90.0,1.0,Tertiary,Post_tectonic_series,6,6,0.01
61,27530.0977,9200,-709.285625,0.733615631602004,0.5405099565636574,0.5330014862827354,0.14684565532244676,1.000008991703088e-12,0.9891594176446955,8.444171645,90.0,1.0,Tertiary,Post_tectonic_series,6,6,0.01
31,24500.0,4600,-950.0,0.6803781896712917,0.4596900434363425,0.5287722439183884,0.1088603595371428,1.000006665774543e-12,0.9940570517448432,6.2496244679999995,90.0,1.0,Pink,Post_tectonic_series,7,6,0.01
64,24500.0,9200,-950.0,0.6803781896712917,0.5405099565636574,0.5287722439183884,0.1088603595371428,1.000006665774543e-12,0.9940570517448432,6.2496244679999995,90.0,1.0,Pink,Post_tectonic_series,7,6,0.01
32,12500.0,4600,-200.0,0.469543633686992,0.4596900434363425,0.5419494036674072,0.05643699930640159,1.0000034557695276e-12,0.9984061623965463,3.23532091,90.0,1.0,Orange,Post_tectonic_series,8,6,0.01
65,12500.0,9200,-200.0,0.469543633686992,0.5405099565636574,0.5419494036674072,0.05643699930640159,1.0000034557695276e-12,0.9984061623965463,3.23532091,90.0,1.0,Orange,Post_tectonic_series,8,6,0.01
17,5040.8820049999995,4600,276.42866000000004,0.3384903144777982,0.4596900434363425,0.5503200390831817,0.28242614998493765,1.0000172936140286e-12,0.9592890439315821,16.40505843,90.0,1.0,Unconformity,Detachement,9,7,0.01
18,7087.94083,4600,-55.714195,0.3744562093480163,0.4596900434363425,0.5444844398034082,0.05643699930640159,1.0000034557695276e-12,0.9984061623965463,3.23532091,90.0,1.0,Unconformity,Detachement,9,7,0.01
19,8992.84279,4600,-280.714195,0.40792447259220155,0.4596900434363425,0.5405312918787025,0.20491686449794386,1.0000125475391098e-12,0.9787793820093978,11.82463242,90.0,1.0,Unconformity,Detachement,9,7,0.01
20,10613.43103,4600,-537.857055,0.43639747276001634,0.4596900434363425,0.5360134084859831,0.11233855738814562,1.0000068787527362e-12,0.9936699897481871,6.450140786,90.0,1.0,Unconformity,Detachement,9,7,0.01
21,12660.48985,4600,-687.857055,0.4723633675423867,0.4596900434363425,0.5333779765361794,0.04481769070275754,1.000002744292073e-12,0.9989951824719474,2.568724949,90.0,1.0,Unconformity,Detachement,9,7,0.01
22,14934.99966,4600,-805.714195,0.5123254730318271,0.4596900434363425,0.5313072800543894,0.05939714928593723,1.0000036370264375e-12,0.9982344307119542,3.40521025,90.0,1.0,Unconformity,Detachement,9,7,0.01
23,20791.8624,4600,-1159.28563,0.6152278943025679,0.4596900434363425,0.5250951903454764,0.0838925051196728,1.0000051369343934e-12,0.996474810312286,4.812342613,90.0,1.0,Unconformity,Detachement,9,7,0.01
24,24345.78397,4600,-1405.714195,0.6776686839870658,0.4596900434363425,0.5207655522551744,0.1088603595371428,1.000006665774543e-12,0.9940570517448432,6.2496244679999995,90.0,1.0,Unconformity,Detachement,9,7,0.01
50,5040.8820049999995,9200,276.42866000000004,0.3384903144777982,0.5405099565636574,0.5503200390831817,0.28242614998493765,1.0000172936140286e-12,0.9592890439315821,16.40505843,90.0,1.0,Unconformity,Detachement,9,7,0.01
51,7087.94083,9200,-55.714195,0.3744562093480163,0.5405099565636574,0.5444844398034082,0.05643699930640159,1.0000034557695276e-12,0.9984061623965463,3.23532091,90.0,1.0,Unconformity,Detachement,9,7,0.01
52,8992.84279,9200,-280.714195,0.40792447259220155,0.5405099565636574,0.5405312918787025,0.20491686449794386,1.0000125475391098e-12,0.9787793820093978,11.82463242,90.0,1.0,Unconformity,Detachement,9,7,0.01
53,10613.43103,9200,-537.857055,0.43639747276001634,0.5405099565636574,0.5360134084859831,0.11233855738814562,1.0000068787527362e-12,0.9936699897481871,6.450140786,90.0,1.0,Unconformity,Detachement,9,7,0.01
54,12660.48985,9200,-687.857055,0.4723633675423867,0.5405099565636574,0.5333779765361794,0.04481769070275754,1.000002744292073e-12,0.9989951824719474,2.568724949,90.0,1.0,Unconformity,Detachement,9,7,0.01
55,14934.99966,9200,-805.714195,0.5123254730318271,0.5405099565636574,0.5313072800543894,0.05939714928593723,1.0000036370264375e-12,0.9982344307119542,3.40521025,90.0,1.0,Unconformity,Detachement,9,7,0.01
56,20791.8624,9200,-1159.28563,0.6152278943025679,0.5405099565636574,0.5250951903454764,0.0838925051196728,1.0000051369343934e-12,0.996474810312286,4.812342613,90.0,1.0,Unconformity,Detachement,9,7,0.01
57,24345.78397,9200,-1405.714195,0.6776686839870658,0.5405099565636574,0.5207655522551744,0.1088603595371428,1.000006665774543e-12,0.9940570517448432,6.2496244679999995,90.0,1.0,Unconformity,Detachement,9,7,0.01
11,5069.313375,4600,147.85723000000002,0.33898984075029615,0.4596900434363425,0.5480610973868221,0.3892093147235814,1.0000238321970737e-12,0.9211493414941037,22.905309600000002,90.0,1.0,Upper-filling,Syn_tectonic_series2,10,8,0.01
12,7059.509454999999,4600,-377.14277000000004,0.37395668298767065,0.4596900434363425,0.5388370855625089,0.12131798444844166,1.0000074285840666e-12,0.9926136945718589,6.9681733029999995,90.0,1.0,Upper-filling,Syn_tectonic_series2,10,8,0.01
13,8879.1173,4600,-902.1427699999999,0.4059263673265143,0.4596900434363425,0.5296130737381958,0.4588473060424303,1.0000280962942321e-12,0.888515137597722,27.31275125,90.0,1.0,Upper-filling,Syn_tectonic_series2,10,8,0.01
14,10300.68593,4600,-1727.14277,0.43090268323545255,0.4596900434363425,0.5151181980142752,0.5481515862382618,1.0000335646042766e-12,0.8363790041047459,33.24029625,90.0,1.0,Upper-filling,Syn_tectonic_series2,10,8,0.01
15,15532.058480000002,4600,-1844.9999149999999,0.5228155256327612,0.4596900434363425,0.5130475014446375,-0.24823527783786845,9.999543999192339e-13,0.9686997712594946,14.37310956,270.0,1.0,Upper-filling,Syn_tectonic_series2,10,8,0.01
16,17749.70554,4600,-548.5713450000001,0.5617785784015102,0.4596900434363425,0.5358251632714134,-0.5945696548868661,9.998907793262907e-13,0.8040441066808038,36.48195985,270.0,1.0,Upper-filling,Syn_tectonic_series2,10,8,0.01
44,5069.313375,9200,147.85723000000002,0.33898984075029615,0.5405099565636574,0.5480610973868221,0.3892093147235814,1.0000238321970737e-12,0.9211493414941037,22.905309600000002,90.0,1.0,Upper-filling,Syn_tectonic_series2,10,8,0.01
45,7059.509454999999,9200,-377.14277000000004,0.37395668298767065,0.5405099565636574,0.5388370855625089,0.12131798444844166,1.0000074285840666e-12,0.9926136945718589,6.9681733029999995,90.0,1.0,Upper-filling,Syn_tectonic_series2,10,8,0.01
46,8879.1173,9200,-902.1427699999999,0.4059263673265143,0.5405099565636574,0.5296130737381958,0.4588473060424303,1.0000280962942321e-12,0.888515137597722,27.31275125,90.0,1.0,Upper-filling,Syn_tectonic_series2,10,8,0.01
47,10300.68593,9200,-1727.14277,0.43090268323545255,0.5405099565636574,0.5151181980142752,0.5481515862382618,1.0000335646042766e-12,0.8363790041047459,33.24029625,90.0,1.0,Upper-filling,Syn_tectonic_series2,10,8,0.01
48,15532.058480000002,9200,-1844.9999149999999,0.5228155256327612,0.5405099565636574,0.5130475014446375,-0.24823527783786845,9.999543999192339e-13,0.9686997712594946,14.37310956,270.0,1.0,Upper-filling,Syn_tectonic_series2,10,8,0.01
49,17749.70554,9200,-548.5713450000001,0.5617785784015102,0.5405099565636574,0.5358251632714134,-0.5945696548868661,9.998907793262907e-13,0.8040441066808038,36.48195985,270.0,1.0,Upper-filling,Syn_tectonic_series2,10,8,0.01
6,11779.1173,4600,-5830.7142,0.4568780516893867,0.4596900434363425,0.4430203096481162,-0.15333733083055306,9.999718323892911e-13,0.9881739032050134,8.82037961,270.0,1.0,Lower-filling,Pre_tectonic_series,11,9,0.01
7,12831.0781,4600,-5487.8571,0.4753605257044608,0.4596900434363425,0.4490441533518299,-0.42614575436871543,9.999217182948912e-13,0.9046545175007282,25.2232075,270.0,1.0,Lower-filling,Pre_tectonic_series,11,9,0.01
8,15020.2938,4600,-3912.8571,0.5138240523764073,0.4596900434363425,0.47671618882476924,-0.642039930370995,9.998820591781517e-13,0.7666711992826241,39.94410070000001,270.0,1.0,Lower-filling,Pre_tectonic_series,11,9,0.01
9,15588.9212,4600,-3484.2856,0.5238145778263662,0.4596900434363425,0.48424599565060467,-0.5652267829017814,9.998961695244289e-13,0.8249355634781556,34.418040999999995,270.0,1.0,Lower-filling,Pre_tectonic_series,11,9,0.01
10,18346.7644,4600,-1769.9999,0.5722686317052262,0.4596900434363425,0.5143652176830825,0.26432319799775394,1.0000161851279183e-12,0.964434158977531,15.326741,90.0,1.0,Lower-filling,Pre_tectonic_series,11,9,0.01
39,11779.1173,9200,-5830.7142,0.4568780516893867,0.5405099565636574,0.4430203096481162,-0.15333733083055306,9.999718323892911e-13,0.9881739032050134,8.82037961,270.0,1.0,Lower-filling,Pre_tectonic_series,11,9,0.01
40,12831.0781,9200,-5487.8571,0.4753605257044608,0.5405099565636574,0.4490441533518299,-0.42614575436871543,9.999217182948912e-13,0.9046545175007282,25.2232075,270.0,1.0,Lower-filling,Pre_tectonic_series,11,9,0.01
41,15020.2938,9200,-3912.8571,0.5138240523764073,0.5405099565636574,0.47671618882476924,-0.642039930370995,9.998820591781517e-13,0.7666711992826241,39.94410070000001,270.0,1.0,Lower-filling,Pre_tectonic_series,11,9,0.01
42,15588.9212,9200,-3484.2856,0.5238145778263662,0.5405099565636574,0.48424599565060467,-0.5652267829017814,9.998961695244289e-13,0.8249355634781556,34.418040999999995,270.0,1.0,Lower-filling,Pre_tectonic_series,11,9,0.01
43,18346.7644,9200,-1769.9999,0.5722686317052262,0.5405099565636574,0.5143652176830825,0.26432319799775394,1.0000161851279183e-12,0.964434158977531,15.326741,90.0,1.0,Lower-filling,Pre_tectonic_series,11,9,0.01
